LAKE NAME,Code,Latitude,Longitude,Distance,Latitude_DD,Longitude_DD
0_Chillukala_Kunta_lake,A1,"78°19'15.604""E","17°26'43.771""N",10.9,17.44549,78.321
0_Chillukala_Kunta_lake,A2,"78°19'15.326""E","17°26'44.005""N",9.72,17.44556,78.32092
0_Chillukala_Kunta_lake,A3,"78°19'15.496""E","17°26'44.279""N",9.72,17.44563,78.32097
0_Chillukala_Kunta_lake,A4,"78°19'15.794""E","17°26'44.581""N",12.81,17.44572,78.32105
0_Chillukala_Kunta_lake,A5,"78°19'15.910""E","17°26'45.017""N",17.54,17.44584,78.32109
0_Chillukala_Kunta_lake,A6,"78°19'16.068""E","17°26'45.913""N",27.77,17.44609,78.32113
0_Chillukala_Kunta_lake,A7,"78°19'15.744""E","17°26'46.748""N",10.82,17.44632,78.32104
0_Chillukala_Kunta_lake,A8,"78°19'15.546""E","17°26'45.733""N",5.87,17.44604,78.32098
0_Chillukala_Kunta_lake,A9,"78°19'15.496""E","17°26'45.791""N",6.32,17.44605,78.32097
0_Chillukala_Kunta_lake,A10,"78°19'15.313""E","17°26'46.403""N",21.94,17.44622,78.32092
0_Chillukala_Kunta_lake,A11,"78°19'15.206""E","17°26'47.256""N",16.63,17.44646,78.32089
0_Chillukala_Kunta_lake,A12,"78°19'14.689""E","17°26'47.461""N",7.43,17.44652,78.32075
0_Chillukala_Kunta_lake,A13,"78°19'14.318""E","17°26'48.664""N",38.52,17.44685,78.32064
0_Chillukala_Kunta_lake,A14,"78°19'14.351""E","17°26'49.549""N",27.35,17.4471,78.32065
0_Chillukala_Kunta_lake,A15,"78°19'13.152""E","17°26'51.288""N",64.17,17.44758,78.32032
0_Chillukala_Kunta_lake,A16,"78°19'12.421""E","17°26'50.629""N",29.65,17.4474,78.32012
0_Chillukala_Kunta_lake,A17,"78°19'11.273""E","17°26'51.018""N",35.95,17.4475,78.3198
0_Chillukala_Kunta_lake,A18,"78°19'10.654""E","17°26'52.231""N",41.57,17.44784,78.31963
0_Chillukala_Kunta_lake,A19,"78°19'09.494""E","17°26'52.181""N",34.29,17.44783,78.3193
0_Chillukala_Kunta_lake,A20,"78°19'09.595""E","17°26'51.389""N",24.61,17.44761,78.31933
0_Chillukala_Kunta_lake,A21,"78°19'09.174""E","17°26'50.194""N",36.88,17.44728,78.31922
0_Chillukala_Kunta_lake,A22,"78°19'09.354""E","17°26'49.884""N",14.34,17.44719,78.31926
0_Chillukala_Kunta_lake,A23,"78°19'09.115""E","17°26'47.598""N",73.75,17.44656,78.3192
0_Chillukala_Kunta_lake,A24,"78°19'10.694""E","17°26'46.561""N",36.13,17.44627,78.31964
0_Chillukala_Kunta_lake,A25,"78°19'09.988""E","17°26'45.928""N",28.49,17.44609,78.31944
0_Chillukala_Kunta_lake,A26,"78°19'10.135""E","17°26'45.294""N",20.0,17.44592,78.31948
0_Chillukala_Kunta_lake,A27,"78°19'10.297""E","17°26'44.588""N",22.22,17.44572,78.31953
0_Chillukala_Kunta_lake,A28,"78°19'10.925""E","17°26'43.051""N",21.53,17.44529,78.3197
0_Chillukala_Kunta_lake,A29,"78°19'09.667""E","17°26'43.382""N",22.22,17.44538,78.31935
0_Chillukala_Kunta_lake,A30,"78°19'09.176""E","17°26'42.504""N",27.11,17.44514,78.31922
0_Chillukala_Kunta_lake,A31,"78°19'08.432""E","17°26'42.076""N",15.85,17.44502,78.31901
0_Chillukala_Kunta_lake,A32,"78°19'10.891""E","17°26'42.367""N",18.57,17.4451,78.31969
0_Chillukala_Kunta_lake,A33,"78°19'11.305""E","17°26'42.367""N",12.15,17.4451,78.31981
Kangula_Kunta,A1,"17°47'17.51""N","78°47'41.553""E",8.66,17.7882,78.79488
Kangula_Kunta,A2,"17°47'17.41""N","78°47'41.82""E",8.46,17.78817,78.79495
Kangula_Kunta,A3,"17°47'17.631""N","78°47'41.875""E",12.89,17.78823,78.79497
Kangula_Kunta,A4,"17°47'18.025""N","78°47'41.9""E",12.67,17.78834,78.79497
Kangula_Kunta,A5,"17°47'18.583""N","78°47'42.344""E",21.5,17.7885,78.7951
Kangula_Kunta,A6,"17°47'18.618""N","78°47'42.362""E",11.96,17.7885,78.7951
Kangula_Kunta,A7,"17°47'18.648""N","78°47'43.586""E",8.28,17.78851,78.79544
Kangula_Kunta,A8,"17°47'19.253""N","78°47'43.88""E",9.59,17.78868,78.79552
Kangula_Kunta,A9,"17°47'19.433""N","78°47'43.558""E",15.01,17.78873,78.79543
Kangula_Kunta,A10,"17°47'19.489""N","78°47'43.36""E",7.73,17.78875,78.79538
Kangula_Kunta,A11,"17°47'20.046""N","78°47'42.358""E",18.88,17.7889,78.7951
Kangula_Kunta,A12,"17°47'20.385""N","78°47'42.394""E",18.83,17.789,78.79511
Kangula_Kunta,A13,"17°47'20.798""N","78°47'42.362""E",13.65,17.78911,78.7951
Kangula_Kunta,A14,"17°47'21.32""N","78°47'42.33""E",12.36,17.78926,78.79509
Kangula_Kunta,A15,"17°47'21.833""N","78°47'42.368""E",17.61,17.7894,78.7951
Kangula_Kunta,A16,"17°47'22.049""N","78°47'43.027""E",21.86,17.78946,78.79529
Kangula_Kunta,A17,"17°47'22.350""N","78°47'43.33""E",15.7,17.78954,78.79537
Kangula_Kunta,A18,"17°47'23.069""N","78°47'43.462""E",8.83,17.78974,78.79541
Kangula_Kunta,A19,"17°47'23.235""N","78°47'43.397""E",19.83,17.78979,78.79539
Kangula_Kunta,A20,"17°47'23.944""N","78°47'43.319""E",21.94,17.78998,78.79537
Kangula_Kunta,A21,"17°47'24.253""N","78°47'43.804""E",17.2,17.79007,78.7955
Kangula_Kunta,A22,"17°47'24.373""N","78°47'43.886""E",5.0,17.7901,78.79552
Kangula_Kunta,A23,"17°47'24.834""N","78°47'44.004""E",15.04,17.79023,78.79556
Kangula_Kunta,A24,"17°47'24.972""N","78°47'44.519""E",10.43,17.79027,78.7957
Kangula_Kunta,A25,"17°47'25.151""N","78°47'44.516""E",12.81,17.79032,78.7957
Kangula_Kunta,A26,"17°47'25.303""N","78°47'44.875""E",8.83,17.79036,78.7958
Kangula_Kunta,A27,"17°47'25.759""N","78°47'44.776""E",14.97,17.79049,78.79577
Kangula_Kunta,A28,"17°47'25.829""N","78°47'45.226""E",10.57,17.79051,78.7959
Kangula_Kunta,A29,"17°47'25.481""N","78°47'45.286""E",4.88,17.79041,78.79591
Kangula_Kunta,A30,"17°47'25.178""N","78°47'45.211""E",9.57,17.79033,78.79589
Kangula_Kunta,A31,"17°47'24.154""N","78°47'45.216""E",16.65,17.79004,78.79589
Kangula_Kunta,A32,"17°47'23.709""N","78°47'45.156""E",4.06,17.78992,78.79588
Kangula_Kunta,A33,"17°47'24.009""N","78°47'45.162""E",6.0,17.79,78.79588
Kangula_Kunta,A34,"17°47'24.352""N","78°47'45.806""E",7.41,17.7901,78.79606
Kangula_Kunta,A35,"17°47'24.382""N","78°47'46.292""E",14.0,17.79011,78.79619
Kangula_Kunta,A36,"17°47'23.877""N","78°47'46.562""E",14.05,17.78997,78.79627
Kangula_Kunta,A37,"17°47'23.669""N","78°47'46.714""E",6.57,17.78991,78.79631
Kangula_Kunta,A38,"17°47'23.669""N","78°47'46.764""E",3.67,17.78991,78.79632
Kangula_Kunta,A39,"17°47'23.060""N","78°47'47.834""E",17.47,17.78974,78.79662
Kangula_Kunta,A40,"17°47'22.709""N","78°47'47.63""E",25.7,17.78964,78.79656
Kangula_Kunta,A41,"17°47'22.497""N","78°47'47.282""E",6.0,17.78958,78.79647
Kangula_Kunta,A42,"17°47'22.35""N","78°47'49.384""E",28.26,17.78954,78.79705
